"SUBJECT","NUMBER","INSTRUCTOR","AP","A","AM","BP","B","BM","CP","C","CM","DP","D","DM","F","P","N","OTHER","W","TOT_NON_W"
"J","100.0","Beyene, Gubae Gundarta","3.0","1.0","0.0","2.0","1.0","3.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","11.0"
"J","100.0","Elias, Troy Rawle Clive","153.0","146.0","49.0","23.0","12.0","3.0","0.0","0.0","0.0","0.0","0.0","0.0","6.0","0.0","0.0","0.0","7.0","392.0"
"J","100.0","Fisher, Irma Jolene","11.0","1.0","5.0","1.0","5.0","4.0","0.0","2.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","3.0","30.0"
"J","100.0","Heyamoto, Lisa Joy","26.0","731.0","208.0","74.0","49.0","28.0","18.0","10.0","10.0","7.0","2.0","3.0","19.0","0.0","0.0","0.0","16.0","1185.0"
"J","100.0","Kuttis, Kathryn Aileen","235.0","304.0","233.0","195.0","111.0","76.0","35.0","43.0","25.0","12.0","7.0","6.0","16.0","0.0","0.0","0.0","25.0","1298.0"
"J","100.0","Madison, Eddie Lawrence","2.0","649.0","48.0","34.0","19.0","22.0","7.0","6.0","4.0","1.0","1.0","1.0","13.0","0.0","0.0","1.0","14.0","808.0"
"J","100.0","Morris, David LaMar","3.0","17.0","6.0","0.0","1.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","28.0"
"J","100.0","Pittman, Matthew Childs","3.0","14.0","2.0","6.0","4.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","1.0","0.0","0.0","1.0","0.0","32.0"
"J","100.0","Ryan, William E","106.0","747.0","352.0","298.0","544.0","205.0","110.0","222.0","82.0","10.0","52.0","8.0","61.0","0.0","0.0","10.0","88.0","2807.0"
"J","100.0","Staton, David Michael","0.0","7.0","16.0","6.0","4.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","35.0"
"J","100.0","Strait, Laura Elizabeth","0.0","1.0","7.0","4.0","3.0","1.0","1.0","2.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","21.0"
"J","101.0","Curtin, Patricia Ann","29.0","67.0","41.0","40.0","52.0","26.0","14.0","14.0","6.0","1.0","0.0","1.0","4.0","0.0","0.0","0.0","6.0","295.0"
"J","101.0","Duncan, Phillip Dale","0.0","8.0","3.0","1.0","1.0","4.0","2.0","2.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","22.0"
"J","101.0","Fisher, Irma Jolene","2.0","8.0","1.0","4.0","2.0","1.0","2.0","3.0","0.0","0.0","0.0","0.0","2.0","0.0","0.0","0.0","0.0","25.0"
"J","101.0","Jasheway, Leigh Anne","271.0","467.0","621.0","635.0","797.0","542.0","336.0","295.0","21.0","30.0","9.0","6.0","58.0","0.0","0.0","0.0","69.0","4088.0"
"J","101.0","Milbourn, Mark Todd","2.0","39.0","90.0","109.0","113.0","102.0","57.0","36.0","22.0","9.0","6.0","5.0","6.0","0.0","0.0","0.0","5.0","596.0"
"J","101.0","Morris, David LaMar","3.0","2.0","7.0","7.0","4.0","2.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","27.0"
"J","101.0","Ostrove, Geoffrey Benjamin","2.0","14.0","7.0","2.0","4.0","0.0","2.0","1.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","33.0"
"J","101.0","Strait, Laura Elizabeth","5.0","16.0","6.0","2.0","9.0","1.0","1.0","2.0","1.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","1.0","44.0"
"J","101.0","Wheeler, Thomas ","2.0","91.0","50.0","40.0","48.0","27.0","20.0","10.0","4.0","1.0","2.0","1.0","3.0","0.0","0.0","0.0","2.0","299.0"
"J","199.0","Jasheway, Leigh Anne","27.0","40.0","11.0","2.0","4.0","2.0","0.0","2.0","0.0","0.0","0.0","0.0","0.0","2.0","0.0","0.0","1.0","90.0"
"J","199.0","Mackey, Mary-Kate ","0.0","3.0","4.0","7.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","14.0"
"J","199.0","Madison, Eddie Lawrence","3.0","161.0","26.0","16.0","12.0","9.0","3.0","4.0","6.0","0.0","5.0","0.0","3.0","0.0","0.0","1.0","8.0","249.0"
"J","199.0","Morrison, Daniel Dean","0.0","4.0","3.0","7.0","5.0","3.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","1.0","25.0"
"J","201.0","Alilunas, Peter Kenneth","3.0","182.0","219.0","227.0","315.0","175.0","112.0","74.0","45.0","25.0","22.0","5.0","33.0","24.0","14.0","0.0","13.0","1475.0"
"J","201.0","Azhar, Farah ","3.0","7.0","1.0","3.0","6.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","21.0"
"J","201.0","Bratslavsky, Lauren Michelle","3.0","5.0","17.0","16.0","16.0","24.0","11.0","8.0","10.0","4.0","6.0","0.0","3.0","11.0","6.0","0.0","1.0","140.0"
"J","201.0","Chavez, Christopher Anthony","14.0","35.0","41.0","49.0","64.0","34.0","22.0","18.0","4.0","8.0","5.0","0.0","3.0","6.0","11.0","0.0","4.0","314.0"
"J","201.0","Cordes, Ashley Lynn","0.0","5.0","8.0","8.0","5.0","7.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","36.0"
"J","201.0","Dean, Jenny Johanna","1.0","4.0","2.0","1.0","10.0","7.0","3.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","2.0","29.0"
"J","201.0","Debebe, Netsanet Yilma","2.0","5.0","2.0","5.0","7.0","1.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","2.0","0.0","0.0","0.0","25.0"
"J","201.0","Deitz, Charles Edward","0.0","46.0","33.0","26.0","25.0","9.0","4.0","5.0","0.0","0.0","2.0","0.0","0.0","0.0","1.0","0.0","2.0","151.0"
"J","201.0","Elias, Troy Rawle Clive","7.0","2.0","9.0","8.0","4.0","5.0","1.0","1.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","1.0","38.0"
"J","201.0","Erickson, Mary Paulette Adeline","1.0","37.0","99.0","159.0","216.0","240.0","108.0","69.0","51.0","7.0","5.0","6.0","23.0","22.0","16.0","0.0","12.0","1059.0"
"J","201.0","Favara, Jeremiah Blaise","0.0","5.0","2.0","3.0","10.0","3.0","2.0","3.0","1.0","1.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","31.0"
"J","201.0","Foxman, Maxwell Henry","20.0","43.0","35.0","24.0","15.0","5.0","7.0","2.0","0.0","0.0","1.0","0.0","1.0","0.0","1.0","0.0","1.0","154.0"
"J","201.0","Francese, Justin John","1.0","11.0","10.0","3.0","4.0","4.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","2.0","34.0"
"J","201.0","Gallicano, Tiffany Derville","30.0","126.0","153.0","137.0","193.0","127.0","71.0","59.0","25.0","14.0","11.0","6.0","21.0","19.0","8.0","0.0","18.0","1000.0"
"J","201.0","Gangadharbatla, Harshavardhan S","0.0","13.0","27.0","27.0","31.0","57.0","26.0","20.0","21.0","11.0","8.0","0.0","8.0","8.0","2.0","0.0","7.0","259.0"
"J","201.0","Louis, Sumita ","0.0","5.0","8.0","2.0","5.0","8.0","1.0","2.0","3.0","1.0","0.0","0.0","1.0","0.0","0.0","0.0","2.0","36.0"
"J","201.0","Mariam, Majd ","0.0","1.0","2.0","4.0","7.0","0.0","3.0","1.0","1.0","0.0","0.0","1.0","0.0","1.0","0.0","0.0","0.0","21.0"
"J","201.0","McDaniel, Kyle R","1.0","11.0","23.0","17.0","23.0","34.0","4.0","9.0","8.0","1.0","3.0","2.0","4.0","8.0","2.0","0.0","6.0","150.0"
"J","201.0","McLaughlin, Andrew Oliver","0.0","4.0","6.0","6.0","7.0","4.0","2.0","1.0","0.0","1.0","0.0","0.0","3.0","1.0","0.0","0.0","1.0","35.0"
"J","201.0","Mundy, Dean Edward","2.0","9.0","14.0","14.0","20.0","11.0","5.0","5.0","5.0","3.0","1.0","1.0","4.0","1.0","3.0","0.0","2.0","98.0"
"J","201.0","Ofori-Parku, Sylvester Justice Senyo","18.0","124.0","72.0","88.0","82.0","57.0","16.0","17.0","12.0","2.0","1.0","2.0","3.0","1.0","1.0","0.0","13.0","496.0"
"J","201.0","Schwartz, Jennifer Trinneer","48.0","117.0","254.0","242.0","259.0","291.0","160.0","125.0","73.0","22.0","15.0","10.0","16.0","17.0","11.0","1.0","31.0","1661.0"
"J","201.0","Sen, Biswarup ","6.0","141.0","192.0","243.0","481.0","341.0","231.0","191.0","51.0","15.0","18.0","1.0","8.0","62.0","3.0","18.0","36.0","2002.0"
"J","201.0","Soderlund, Gretchen ","23.0","53.0","70.0","84.0","46.0","10.0","3.0","1.0","1.0","1.0","1.0","0.0","3.0","7.0","1.0","0.0","7.0","304.0"
"J","201.0","Somaini, Francesco ","2.0","29.0","28.0","10.0","22.0","19.0","4.0","7.0","6.0","1.0","1.0","0.0","3.0","0.0","3.0","0.0","8.0","135.0"
"J","201.0","Swartz, Jeremy David","2.0","23.0","42.0","31.0","26.0","10.0","4.0","5.0","1.0","0.0","0.0","0.0","1.0","2.0","1.0","0.0","5.0","148.0"
"J","201.0","Valencia, Ricardo J","0.0","10.0","10.0","6.0","4.0","3.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","34.0"
"J","201.0","Wongphothiphan, Thipkanok ","1.0","0.0","2.0","1.0","4.0","2.0","2.0","0.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.0","14.0"
"J","201.0","Workneh, Tewodros Workalemahu","2.0","27.0","57.0","62.0","104.0","71.0","64.0","42.0","21.0","12.0","9.0","4.0","17.0","15.0","14.0","2.0","15.0","523.0"
"J","205.0","Banks, Rebecca ","0.0","1.0","11.0","14.0","7.0","8.0","4.0","2.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","2.0","48.0"
"J","205.0","Butler, Charles Joseph","0.0","1.0","15.0","30.0","31.0","38.0","20.0","8.0","4.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","4.0","149.0"
"J","205.0","Deitz, Charles Edward","0.0","6.0","29.0","32.0","24.0","4.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","95.0"
"J","205.0","Heyamoto, Lisa Joy","0.0","34.0","202.0","298.0","285.0","191.0","67.0","37.0","8.0","2.0","1.0","0.0","7.0","0.0","0.0","0.0","6.0","1132.0"
"J","205.0","Kjellstrand, Torsten Clifford","1.0","90.0","157.0","152.0","86.0","17.0","10.0","8.0","1.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","9.0","523.0"
"J","205.0","Milbourn, Mark Todd","0.0","4.0","39.0","72.0","70.0","61.0","25.0","11.0","2.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","3.0","285.0"
"J","205.0","Morrison, Daniel Dean","1.0","36.0","124.0","135.0","112.0","113.0","31.0","8.0","3.0","0.0","2.0","2.0","3.0","0.0","0.0","1.0","8.0","571.0"
"J","205.0","Park, Sung Jin","0.0","20.0","49.0","82.0","49.0","32.0","11.0","2.0","1.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","5.0","247.0"
"J","205.0","Shontz, Lori Marie","0.0","5.0","45.0","70.0","73.0","48.0","10.0","13.0","5.0","0.0","0.0","0.0","4.0","0.0","0.0","0.0","4.0","273.0"
"J","205.0","Steffen, Susan Annette","1.0","16.0","41.0","43.0","24.0","4.0","4.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4.0","133.0"
